id_trecho,br,trecho_km_inicial,trecho_km_final,trecho_densidade_acidentes,trecho_risco_total,trecho_severidade_media,tracado_tem_aclive,tracado_tem_cruzamento,tracado_tem_curva,tracado_tem_declive,tracado_tem_desvio_tempor_rio,tracado_tem_em_obras,tracado_tem_interse__o_de_vias,tracado_tem_ponte,tracado_tem_reta,tracado_tem_retorno_regulamentado,tracado_tem_rotat_ria,tracado_tem_t_nel,tracado_tem_viaduto,classificacao_acidente_com_vitimas_fatais,classificacao_acidente_com_vitimas_feridas,classificacao_acidente_sem_vitimas,prop_causa_atropelamento_pedestre,prop_causa_defeito_mecanico_veiculo,prop_causa_defeito_na_via,prop_causa_falta_de_atencao,prop_causa_ingestao_de_alcool,prop_causa_outras,prop_causa_velocidade_incompativel,prop_cond_ceu claro,prop_cond_chuva,prop_cond_granizo,prop_cond_neve,prop_cond_nublado,prop_cond_outros,prop_cond_vento forte,tipo_acidente_atropelamento de animal,tipo_acidente_atropelamento de pessoa,tipo_acidente_capotamento,tipo_acidente_colisão,tipo_acidente_colisão frontal,tipo_acidente_colisão lateral,tipo_acidente_colisão transversal,tipo_acidente_colisão traseira,tipo_acidente_danos eventuais,tipo_acidente_engavetamento,tipo_acidente_incêndio,tipo_acidente_outros,tipo_acidente_queda de ocupante de veículo,tipo_acidente_saída de pista,tipo_acidente_tombamento,prop_pista_Dupla,prop_pista_Múltipla,prop_pista_Simples,sentido_via_Crescente,sentido_via_Decrescente,sentido_via_Não Informado,fase_dia_Amanhecer,fase_dia_Anoitecer,fase_dia_Plena noite,fase_dia_Pleno dia,causa_relevante_radar,trecho_extensao_km,ponto_critico_km,distancia_radar_mais_proximo,tem_radar,reducao_pct_taxa_acidente
BR267_T3100,267,253.8,254.2,7,0,1.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,1.0,0.5714285714285714,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,0.0,0.39999999999997726,254.0,-1.0,0,0.0
BR267_T3101,267,254.5,254.6,5,1,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.6,0.4,0.0,0.0,0.0,0.4,0.6,0.4,0.09999999999999432,254.5,-1.0,0,0.0
BR267_T3102,267,254.8,255.2,6,5,1.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.39999999999997726,255.0,-1.0,0,0.0
BR267_T3103,267,255.6,255.7,2,0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.09999999999999432,255.6,-1.0,0,0.0
BR267_T3104,267,255.9,255.9,6,3,1.1666666666666667,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.0,255.9,-1.0,0,0.0
BR267_T3105,267,256.1,257.6,22,20,1.3636363636363635,0.045454545454545456,0.0,0.8636363636363636,0.045454545454545456,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.045454545454545456,0.5,0.4090909090909091,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.5,0.36363636363636365,0.5,0.2727272727272727,0.0,0.0,0.18181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,1.0,0.5909090909090909,0.4090909090909091,0.0,0.0,0.0,0.3181818181818182,0.6818181818181818,0.36363636363636365,1.5,256.5,-1.0,0,0.0
BR267_T3106,267,258.0,258.2,15,18,1.6,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.4,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.7333333333333333,0.4666666666666667,0.19999999999998863,258.1,-1.0,0,0.0
BR267_T3107,267,258.5,258.7,5,16,3.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.2,0.0,0.8,1.0,0.19999999999998863,258.5,-1.0,0,0.0
BR267_T3108,267,259.0,259.3,9,19,3.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,1.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.30000000000001137,259.0,-1.0,0,0.0
BR267_T3109,267,259.8,259.8,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,259.8,-1.0,0,0.0
